intent,precision,recall,f1-score,support,predicted_count,correct_count,false_negative,false_positive
virtual_card_not_working,0.75,0.5,0.6,6,4,3,3,1
card_acceptance,0.7142857142857143,0.5555555555555556,0.625,9,7,5,4,2
pin_blocked,0.8333333333333334,0.5882352941176471,0.6896551724137931,17,12,10,7,2
pending_transfer,0.7083333333333334,0.7727272727272727,0.7391304347826086,22,24,17,5,7
contactless_not_working,1.0,0.6,0.75,5,3,3,2,0
transfer_not_received_by_recipient,0.7916666666666666,0.7307692307692307,0.76,26,24,19,7,5
atm_support,0.7692307692307693,0.7692307692307693,0.7692307692307693,13,13,10,3,3
card_payment_fee_charged,0.8076923076923077,0.75,0.7777777777777778,28,26,21,7,5
topping_up_by_card,0.8,0.8,0.8,15,15,12,3,3
declined_cash_withdrawal,0.7586206896551724,0.8461538461538461,0.8,26,29,22,4,7
compromised_card,0.8333333333333334,0.7692307692307693,0.8,13,12,10,3,2
pending_top_up,0.76,0.8636363636363636,0.8085106382978723,22,25,19,3,6
card_not_working,0.8666666666666667,0.7647058823529411,0.8125,17,15,13,4,2
exchange_via_app,0.9285714285714286,0.7222222222222222,0.8125,18,14,13,5,1
lost_or_stolen_card,0.7333333333333333,0.9166666666666666,0.8148148148148148,12,15,11,1,4
supported_cards_and_currencies,0.8,0.8421052631578947,0.8205128205128205,19,20,16,3,4
transfer_timing,0.8,0.8421052631578947,0.8205128205128205,19,20,16,3,4
top_up_by_cash_or_cheque,0.8235294117647058,0.8235294117647058,0.8235294117647058,17,17,14,3,3
get_disposable_virtual_card,0.8571428571428571,0.8,0.8275862068965517,15,14,12,3,2
top_up_reverted,0.8947368421052632,0.7727272727272727,0.8292682926829268,22,19,17,5,2
card_about_to_expire,0.7727272727272727,0.8947368421052632,0.8292682926829268,19,22,17,2,5
why_verify_identity,0.8333333333333334,0.8333333333333334,0.8333333333333334,18,18,15,3,3
getting_virtual_card,0.7142857142857143,1.0,0.8333333333333334,15,21,15,0,6
top_up_failed,0.8571428571428571,0.8181818181818182,0.8372093023255814,22,21,18,4,3
card_payment_wrong_exchange_rate,0.84,0.84,0.84,25,25,21,4,4
card_arrival,0.7777777777777778,0.9130434782608695,0.84,23,27,21,2,6
wrong_exchange_rate_for_cash_withdrawal,0.84,0.84,0.84,25,25,21,4,4
card_swallowed,0.8,0.8888888888888888,0.8421052631578947,9,10,8,1,2
unable_to_verify_identity,1.0,0.7333333333333333,0.8461538461538461,15,11,11,4,0
balance_not_updated_after_bank_transfer,0.8461538461538461,0.8461538461538461,0.8461538461538461,26,26,22,4,4
top_up_by_bank_transfer_charge,0.875,0.8235294117647058,0.8484848484848485,17,16,14,3,2
pending_cash_withdrawal,0.9444444444444444,0.7727272727272727,0.85,22,18,17,5,1
fiat_currency_support,0.8095238095238095,0.8947368421052632,0.85,19,21,17,2,4
declined_card_payment,0.8333333333333334,0.8695652173913043,0.851063829787234,23,24,20,3,4
order_physical_card,0.8823529411764706,0.8333333333333334,0.8571428571428571,18,17,15,3,2
disposable_card_limits,0.8823529411764706,0.8333333333333334,0.8571428571428571,18,17,15,3,2
exchange_charge,0.75,1.0,0.8571428571428571,18,24,18,0,6
transfer_fee_charged,0.88,0.8461538461538461,0.8627450980392157,26,25,22,4,3
extra_charge_on_statement,0.8461538461538461,0.88,0.8627450980392157,25,26,22,3,4
direct_debit_payment_not_recognised,0.9166666666666666,0.8148148148148148,0.8627450980392157,27,24,22,5,2
verify_my_identity,0.875,0.875,0.875,16,16,14,2,2
card_delivery_estimate,0.9333333333333333,0.8235294117647058,0.875,17,15,14,3,1
get_physical_card,0.8,1.0,0.8888888888888888,16,20,16,0,4
receiving_money,0.9230769230769231,0.8571428571428571,0.8888888888888888,14,13,12,2,1
cash_withdrawal_charge,0.8620689655172413,0.9259259259259259,0.8928571428571429,27,29,25,2,4
card_payment_not_recognised,0.8064516129032258,1.0,0.8928571428571429,25,31,25,0,6
cash_withdrawal_not_recognised,0.88,0.9166666666666666,0.8979591836734694,24,25,22,2,3
exchange_rate,1.0,0.8235294117647058,0.9032258064516129,17,14,14,3,0
transfer_into_account,1.0,0.8235294117647058,0.9032258064516129,17,14,14,3,0
card_linking,0.9047619047619048,0.9047619047619048,0.9047619047619048,21,21,19,2,2
verify_source_of_funds,0.9375,0.8823529411764706,0.9090909090909091,17,16,15,2,1
failed_transfer,0.8695652173913043,0.9523809523809523,0.9090909090909091,21,23,20,1,3
edit_personal_details,0.9411764705882353,0.8888888888888888,0.9142857142857143,18,17,16,2,1
getting_spare_card,0.9444444444444444,0.8947368421052632,0.918918918918919,19,18,17,2,1
request_refund,0.8888888888888888,0.96,0.9230769230769231,25,27,24,1,3
declined_transfer,0.9473684210526315,0.9,0.9230769230769231,20,19,18,2,1
top_up_limits,0.9333333333333333,0.9333333333333333,0.9333333333333333,15,15,14,1,1
pending_card_payment,1.0,0.875,0.9333333333333333,24,21,21,3,0
activate_my_card,0.9565217391304348,0.9166666666666666,0.9361702127659575,24,23,22,2,1
Refund_not_showing_up,0.9565217391304348,0.9166666666666666,0.9361702127659575,24,23,22,2,1
terminate_account,0.9375,0.9375,0.9375,16,16,15,1,1
reverted_card_payment?,0.92,0.9583333333333334,0.9387755102040817,24,25,23,1,2
age_limit,0.9411764705882353,0.9411764705882353,0.9411764705882353,17,17,16,1,1
top_up_by_card_charge,0.8947368421052632,1.0,0.9444444444444444,17,19,17,0,2
automatic_top_up,1.0,0.8947368421052632,0.9444444444444444,19,17,17,2,0
verify_top_up,0.9473684210526315,0.9473684210526315,0.9473684210526315,19,19,18,1,1
wrong_amount_of_cash_received,0.9,1.0,0.9473684210526315,27,30,27,0,3
beneficiary_not_allowed,0.9565217391304348,0.9565217391304348,0.9565217391304348,23,23,22,1,1
cancel_transfer,0.9583333333333334,0.9583333333333334,0.9583333333333334,24,24,23,1,1
transaction_charged_twice,0.9615384615384616,0.9615384615384616,0.9615384615384616,26,26,25,1,1
balance_not_updated_after_cheque_or_cash_deposit,0.9310344827586207,1.0,0.9642857142857143,27,29,27,0,2
change_pin,0.9473684210526315,1.0,0.972972972972973,18,19,18,0,1
country_support,1.0,0.9473684210526315,0.972972972972973,19,18,18,1,0
lost_or_stolen_phone,0.9473684210526315,1.0,0.972972972972973,18,19,18,0,1
visa_or_mastercard,1.0,0.95,0.9743589743589743,20,19,19,1,0
apple_pay_or_google_pay,1.0,1.0,1.0,19,19,19,0,0
passcode_forgotten,1.0,1.0,1.0,16,16,16,0,0
